"","Address","Property Type","District","Asking","Size","Tenancy Status","Date Listed","Facility","Train","Buses","Schools","Shopping.Mall","Markets","PSF","Property Name","Tenure","Model","No. of Units","Tenanted Amount","Built Year","Developer","Floor Level","Condition","Owner Type","Restroom","TOP"
"76","Jalan Besut","Warehouse","Boon Lay / Jurong / Tuas","
								$16,700,000 (Negotiable)
								","
							161,992 sqft (Built-up)
								","Not tenanted","1631680320","3","2","0","1","1","3","
							$103 psf (Built-up)
								","Jalan Besut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Jalan Besut","Warehouse","Boon Lay / Jurong / Tuas","
								$16,700,000 (Negotiable)
								","
							162,110 sqft (Built-up)
								","Not tenanted","1631101534","3","3","0","1","1","3","
							$103 psf (Built-up)
								","Jalan Besut","LEASEHOLD/30 years",NA,NA,NA,NA,NA,NA,"Partially Fitted",NA,NA,NA
"78","Jalan Bukit Merah","HDB Shop House","Alexandra / Commonwealth","
								$5,000,000","
							1,765 sqft (Built-up)
								","Tenanted","1622281366","0","3","24","6","3","3","
							$2,833 psf (Built-up)
								","Tiong Bahru Orchid","LEASEHOLD/99 years",NA,NA,"$18,000",NA,NA,"GROUND","Fully Fitted","Private","1",NA
"79","Jalan Dusun","Retail","Balestier / Toa Payoh","
								$588,888 (Negotiable)
								","
							171 sqft (Built-up)
								","Tenanted","1631925791","3","3","19","8","3","3","
							$3,444 psf (Built-up)
								","One Dusun Residences","FREEHOLD",NA,NA,"$0","2017",NA,NA,"Partially Fitted","Private",NA,NA
"80","Jalan Gelenggang","Land","Ang Mo Kio / Bishan / Thomson","
								$4,100,000","
							3,261 sqft (Built-up)
								","Not tenanted","1631502537","1","3","5","7","3","3","
							$1,257 psf (Built-up)
								","Sembawang Hills Estate","FREEHOLD","Land With Building / En-bloc",NA,NA,NA,"Bukit Sembawang Estates Limited",NA,NA,NA,NA,NA
"81","Jalan Greja","Land","Bedok / Upper East Coast","
								$5,650,000","
							5,700 sqft (Land) / 
								","Not tenanted","1630446911","1","3","12","6","3","3","
							$991 psf (Land) /
								","Jalan Greja",NA,"Land With Building / En-bloc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Jalan Harom Setangkai","Land","Tanglin / Holland / Bukit Timah","
								$19,000,000","
							9,000 sqft (Land) / 
								","Not tenanted","1631966230","0","3","19","9","1","3","
							$2,111 psf (Land) /
								","Chip Hock Gardens",NA,"Land Only",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Jalan Ismail","Land","Eunos / Geylang / Paya Lebar","
								$7,988,000 (Negotiable)
								","
							6,430 sqft (Land) / 
								","Not tenanted","1632043027","0","3","43","6","3","3","
							$1,242 psf (Land) /
								","Jalan Ismail",NA,"Land Only",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Jalan Kelichap","Land","Hougang / Punggol / Sengkang","
								$2,630,000","
							3,500 sqft (Land) / 
								","Not tenanted","1630447678","1","3","29","8","3","3","
							$751 psf (Land) /
								","Tai Keng Villas","LEASEHOLD/99 years","Land With Building / En-bloc",NA,NA,NA,"Yhs Tai Keng Place Pte Ltd (Far East Organization)",NA,NA,NA,NA,NA
"85","Jalan Lim Tai See","Land","Tanglin / Holland / Bukit Timah","
								$8,825,000","
							3,530 sqft (Land) / 
								","Not tenanted","1624576614","3","3","6","9","3","3","
							$2,499 psf (Land) /
								","Jalan Lim Tai See",NA,"Land With Building / En-bloc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Joo Chiat Road","HDB Shop House","East Coast / Marine Parade","
								$3,000,000 (Guide Price)
								","
							2,500 sqft (Built-up)
								","Tenanted","1630501990","0","3","3","6","3","3","
							$1,200 psf (Built-up)
								","Joo Chiat Road","LEASEHOLD/99 years","Eating House",NA,"$0",NA,NA,"GROUND",NA,"Government","1",NA
"87","Jurong East Street 31","HDB Shop House","Boon Lay / Jurong / Tuas","
								$2,950,000 (Negotiable)
								","
							1,894 sqft (Built-up)
								","Not tenanted","1631333347","2","3","17","6","3","3","
							$1,558 psf (Built-up)
								","Jurong East Street 31","LEASEHOLD/99 years",NA,NA,NA,NA,NA,NA,"Bare",NA,NA,NA
"88","Jurong East Street 31","Shop House","Boon Lay / Jurong / Tuas","
								$6,000,000 (Negotiable)
								","
							1,895 sqft (Built-up)
								","Not tenanted","1632044405","1","3","17","6","3","3","
							$3,166 psf (Built-up)
								","Jurong East Street 31","LEASEHOLD/99 years",NA,NA,NA,NA,"HDB",NA,"Fully Fitted",NA,NA,NA
"89","Kaki Bukit Place","Factory","Eunos / Geylang / Paya Lebar","
								$4,700,000 (View To Offer)
								","
							13,500 sqft (Built-up)
								","Not tenanted","1631957425","0","3","11","6","1","3","
							$348 psf (Built-up)
								","Eunos Techpark","60 Years from 20/11/1995","Factory (all Types","180",NA,NA,NA,NA,NA,NA,NA,NA
"90","Kaki Bukit Place","Warehouse","Eunos / Geylang / Paya Lebar","
								$6,618,788 (View to Offer)
								","
							7,696 sqft (Built-up)
								","Not tenanted","1631869114","0","3","11","6","1","3","
							$860 psf (Built-up)
								","Eunos Techpark",NA,"Food And Beverage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Kaki Bukit Road 1","Factory","Eunos / Geylang / Paya Lebar","
								$1,000,000 (Negotiable)
								","
							2,774 sqft (Built-up)
								","Tenanted","1631969163","6","3","19","6","2","3","
							$360 psf (Built-up)
								","Eunos Technolink","LEASEHOLD/99 years","Factory (all Types)",NA,"$0","1996",NA,"MID","Fully Fitted","Private","1",NA
"92","Kaki Bukit Road 1","Warehouse","Eunos / Geylang / Paya Lebar","
								$15,000,000 (Negotiable)
								","
							10,409 sqft (Built-up)
								","Tenanted","1631026387","9","3","20","6","3","3","
							$1,441 psf (Built-up)
								","Enterprise One","LEASEHOLD/60 years","Food And Beverage",NA,"$0",NA,NA,"GROUND","Fully Fitted",NA,NA,NA
"93","Kaki Bukit Road 1","Warehouse","Eunos / Geylang / Paya Lebar","
								$15,000,000 (View to Offer)
								","
							10,409 sqft (Built-up)
								","Not tenanted","1631868753","0","3","20","6","3","3","
							$1,441 psf (Built-up)
								","Enterprise One","60 years from 09/07/1996","Food And Beverage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Kaki Bukit Road 1","Warehouse","Eunos / Geylang / Paya Lebar","
								$5,300,000 (View to Offer)
								","
							6,157 sqft (Built-up)
								","Not tenanted","1631869164","0","3","18","6","1","3","
							$861 psf (Built-up)
								","Eunos Technolink","LEASEHOLD/60 years","Food And Beverage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Kaki Bukit Road 2","Factory","Eunos / Geylang / Paya Lebar","
								$580,000","
							2,400 sqft (Built-up)
								","Not tenanted","1631957425","0","3","0","6","0","3","
							$242 psf (Built-up)
								","First East Centre","LEASEHOLD/30 years","Factory (all Types)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Kaki Bukit Road 2","Office","Eunos / Geylang / Paya Lebar","
								$751,880","
							2,647 sqft (Built-up)
								","Not tenanted","1632018934","0","3","0","6","0","3","
							$284 psf (Built-up)
								","First East Centre",NA,"Industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Kaki Bukit Road 2","Warehouse","Eunos / Geylang / Paya Lebar","
								$472,940","
							1,819 sqft (Built-up)
								","Not tenanted","1632018941","0","3","11","7","0","3","
							$260 psf (Built-up)
								","Gordon Warehouse Building","60 Years from 25/07/1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Kaki Bukit Road 2","Warehouse","Eunos / Geylang / Paya Lebar","
								$650,000","
							2,163 sqft (Built-up)
								","Not tenanted","1631668485","1","3","11","7","0","3","
							$301 psf (Built-up)
								","Ruby Warehouse Complex","60 Years from 07/12/1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Kaki Bukit Road 4","Factory","Eunos / Geylang / Paya Lebar","
								$730,000 (Negotiable)
								","
							2,100 sqft (Built-up)
								","Not tenanted","1631957425","0","3","0","6","0","3","
							$348 psf (Built-up)
								","Synergy @ KB","LEASEHOLD/99 years","Factory (all Types)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Kallang Bahru","HDB Shop House","Balestier / Toa Payoh","
								$2,000,000 (Negotiable)
								","
							1,420 sqft (Built-up)
								","Tenanted","1631632754","3","3","21","6","3","3","
							$1,408 psf (Built-up)
								","Kallang Bahru","LEASEHOLD/99 years","Shop With Living Quarters",NA,"$0",NA,NA,"GROUND",NA,NA,"2",NA
"101","Kallang Pudding Road","Warehouse","Macpherson / Potong Pasir","
								$2,150,000","
							3,057 sqft (Built-up)
								","Not tenanted","1631957425","0","3","31","7","1","3","
							$703 psf (Built-up)
								","Elite Industrial Building I","FREEHOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Kim Chuan Drive","Warehouse","Hougang / Punggol / Sengkang","
								$3,000,000","
							1,765 sqft (Built-up)
								","Not tenanted","1630726672","0","3","14","8","1","3","
							$1,700 psf (Built-up)
								","Citrine Foodland @ 33 Kim Chuan",NA,"Food And Beverage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Kim Chuan Terrace","Factory","Hougang / Punggol / Sengkang","
								$16,000,000","
							8,117 sqft (Built-up)
								","Tenanted","1631958018","8","3","7","8","1","2","
							$1,971 psf (Built-up)
								","Tai Kim Industrial Estate","FREEHOLD",NA,NA,"$45,000","1985",NA,NA,NA,NA,NA,NA
"104","Koon Seng Road","Land","East Coast / Marine Parade","
								$3,000,000 (View to Offer)
								","
							1,574 sqft (Land) / 
								","Not tenanted","1631680081","4","3","4","6","3","3","
							$1,905 psf (Land) /
								","Koon Seng Road",NA,"Land With Building / En-bloc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Lavender Street","Shop House","Balestier / Toa Payoh","
								$9,555,555","
							2,083 sqft (Built-up)
								","Not tenanted","1631865075","1","3","33","6","3","3","
							$4,587 psf (Built-up)
								","Lavender Street",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Lengkong Dua","Land","Eunos / Geylang / Paya Lebar","
								$6,380,000","
							6,000 sqft (Land) / 
								","Not tenanted","1624607313","6","3","3","6","3","3","
							$1,063 psf (Land) /
								","Lengkong Dua",NA,"Land With Building / En-bloc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Lok Yang Way","Land","Boon Lay / Jurong / Tuas","
								$3,000,000","
							18,000 sqft (Land) / 
								","Not tenanted","1630585431","0","3","3","5","1","0","
							$166 psf (Land) /
								","Lok Yang Way",NA,"Land Only",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Lorong 1 Realty Park","Land","Hougang / Punggol / Sengkang","
								$3,414,000","
							4,865 sqft (Land) / 
								","Not tenanted","1630446589","2","3","33","6","3","3","
							$701 psf (Land) /
								","Parkwood Collection","LEASEHOLD/99 years","Land With Building / En-bloc",NA,NA,NA,"Fantasia Holding Group",NA,NA,NA,NA,NA
"109","Lorong 1 Realty Park","Land","Hougang / Punggol / Sengkang","
								$3,710,000","
							4,865 sqft (Land) / 
								","Not tenanted","1631777044","2","3","33","6","3","3","
							$762 psf (Land) /
								","Parkwood Collection","LEASEHOLD/99 years","Land With Building / En-bloc",NA,NA,NA,"Fantasia Holding Group",NA,NA,NA,NA,NA
"110","Lorong 23 Geylang","Warehouse","Eunos / Geylang / Paya Lebar","
								$1,800,000 (Negotiable)
								","
							1,550 sqft (Built-up)
								","Not tenanted","1631544657","0","3","16","7","3","3","
							$1,161 psf (Built-up)
								","Atrix","Freehold",NA,"7",NA,NA,"Hafary Pte Ltd",NA,NA,NA,NA,NA
"111","Lorong 6 Toa Payoh","HDB Shop House","Balestier / Toa Payoh","
								$6,200,000 (Offer in Excess)
								","
							1,259 sqft (Built-up)
								","Not tenanted","1631845227","0","3","13","7","3","3","
							$4,925 psf (Built-up)
								","190 Lorong 6 Toa Payoh","LEASEHOLD/99 years","Hdb Shophouse",NA,NA,NA,NA,"GROUND",NA,NA,NA,NA
"112","Lorong G Telok Kurau","Land","East Coast / Marine Parade","
								$6,299,999","
							5,735 sqft (Land) / 
								","Not tenanted","1631503687","0","3","20","6","3","3","
							$1,098 psf (Land) /
								","Lorong G Telok Kurau",NA,"Land With Building / En-bloc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Lorong Marzuki","Land","Eunos / Geylang / Paya Lebar","
								$5,580,000","
							2,496 sqft (Land) / 
								","Not tenanted","1631347903","6","3","10","6","3","3","
							$2,235 psf (Land) /
								","Lorong Marzuki",NA,"Land Only",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Loyang Drive","Factory","Changi Airport / Changi Village","
								$6,200,000 (Negotiable)
								","
							19,200 sqft (Built-up)
								","Not tenanted","1631063325","5","2","0","6","2","3","
							$323 psf (Built-up)
								","Loyang Industrial Estate","LEASEHOLD/60 years","Dormitory",NA,NA,"2017",NA,NA,"Fully Fitted",NA,NA,NA
"115","Macpherson Road","Retail","Macpherson / Potong Pasir","
								$2,521,246","
							398 sqft (Built-up)
								","Not tenanted","1632014653","2","3","14","7","0","3","
							$6,335 psf (Built-up)
								","Macpherson Mall","Freehold","Shop","86",NA,NA,"LVND Investments Pte Ltd",NA,NA,NA,NA,NA
"116","Mandai Estate","Factory","Admiralty / Woodlands","
								$940,000","
							1,583 sqft (Built-up)
								","Not tenanted","1631964298","2","2","0","3","3","1","
							$594 psf (Built-up)
								","Eldix","Freehold","Industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Marine Parade Central","HDB Shop House","East Coast / Marine Parade","
								$3,300,000 (Guide price)
								","
							1,528 sqft (Built-up)
								","Tenanted","1630924960","6","3","47","6","3","3","
							$2,160 psf (Built-up)
								","MARINE PARADE CENTRAL",NA,"Shop With Living Quarters",NA,"$0",NA,NA,"GROUND","Fully Fitted","Private","4",NA
"118","Marine Parade Central","HDB Shop House","East Coast / Marine Parade","
								$5,500,000 (Negotiable)
								","
							1,500 sqft (Built-up)
								","Tenanted","1630924960","6","3","47","6","3","3","
							$3,667 psf (Built-up)
								","MARINE PARADE CENTRAL","LEASEHOLD/99 years","Retail",NA,"$17,000","1976",NA,"GROUND","Fully Fitted","Private","2",NA
"119","MARNE ROAD","Retail","Farrer Park / Serangoon Rd","
								$1,220,000","
							527 sqft (Built-up)
								","Not tenanted","1632048653","0","3","14","7","3","3","
							$2,315 psf (Built-up)
								","The Citron","FREEHOLD","Shop","54",NA,"2019","Goodland Assets Pte Ltd",NA,NA,NA,NA,NA
"120","MARSILING RISE","HDB Shop House","Admiralty / Woodlands","
								$2,100,000 (Negotiable)
								","
							1,399 sqft (Built-up)
								","Tenanted","1627572729","6","3","7","7","3","3","
							$1,501 psf (Built-up)
								","MARSILING RISE","LEASEHOLD/99 years",NA,NA,"$7,550",NA,NA,"GROUND","Fully Fitted",NA,NA,NA
"121","Mountbatten Road","Retail","East Coast / Marine Parade","
								$900,000","
							206 sqft (Built-up)
								","Not tenanted","1632026927","1","3","22","6","3","3","
							$4,369 psf (Built-up)
								","Katong Shopping Centre","Freehold",NA,NA,NA,NA,NA,NA,"Partially Fitted",NA,NA,NA
"122","Neil Road","Shop House","Chinatown / Tanjong Pagar","
								$7,800,000 (Negotiable)
								","
							3,045 sqft (Built-up)
								","Not tenanted","1631863427","3","3","7","4","3","3","
							$2,562 psf (Built-up)
								","Neil Road","LEASEHOLD/99 years","Shophouse",NA,NA,NA,NA,NA,"Partially Fitted",NA,NA,NA
"123","Neil Road","Shop House","Chinatown / Tanjong Pagar","
								$7,800,000 (Negotiable)
								","
							3,046 sqft (Built-up)
								","Not tenanted","1632012798","2","3","6","4","3","3","
							$2,561 psf (Built-up)
								","Jinrikisha Station","LEASEHOLD/99 years","Shophouse",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","New Industrial Road","Factory","Hougang / Punggol / Sengkang","
								$1,683,365 (Negotiable)
								","
							2,411 sqft (Built-up)
								","Not tenanted","1632052267","2","3","0","8","3","3","
							$698 psf (Built-up)
								","In Space","FREEHOLD","Industrial",NA,NA,NA,NA,NA,"Bare",NA,NA,NA
"125","New Industrial Road","Office","Hougang / Punggol / Sengkang","
								$1,684,890","
							2,174 sqft (Built-up)
								","Not tenanted","1631963082","5","3","0","8","3","3","
							$775 psf (Built-up)
								","In Space",NA,"Industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","New Upper Changi Road","Shop House","Bedok / Upper East Coast","
								$3,388,000","
							1,517 sqft (Built-up)
								","Not tenanted","1632029152","1","3","30","7","3","3","
							$2,233 psf (Built-up)
								","New Upper Changi Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","North Bridge Road","Office","City Hall / Clarke Quay","
								$1,330,000","
							786 sqft (Built-up)
								","Not tenanted","1632021033","8","3","15","6","3","3","
							$1,692 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","North Bridge Road","Office","City Hall / Clarke Quay","
								$1,450,000","
							786 sqft (Built-up)
								","Not tenanted","1632021033","8","3","15","6","3","3","
							$1,845 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","North Bridge Road","Office","City Hall / Clarke Quay","
								$1,650,000","
							1,001 sqft (Built-up)
								","Not tenanted","1632021033","8","3","15","6","3","3","
							$1,648 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","North Bridge Road","Office","City Hall / Clarke Quay","
								$446,400","
							248 sqft (Built-up)
								","Not tenanted","1632021033","5","3","15","6","3","3","
							$1,800 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","North Bridge Road","Office","City Hall / Clarke Quay","
								$880,000","
							550 sqft (Built-up)
								","Not tenanted","1632021033","7","3","15","6","3","3","
							$1,600 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","North Bridge Road","Retail","City Hall / Clarke Quay","
								$1,016,000","
							635 sqft (Built-up)
								","Not tenanted","1632021033","5","3","15","6","3","3","
							$1,600 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years","Shop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","North Bridge Road","Retail","City Hall / Clarke Quay","
								$1,500,000 (Negotiable)
								","
							390 sqft (Built-up)
								","Not tenanted","1631964298","0","3","32","6","3","3","
							$3,846 psf (Built-up)
								","Peninsula Plaza","999 years","Retail",NA,NA,"1981",NA,NA,NA,NA,NA,NA
"134","North Bridge Road","Retail","City Hall / Clarke Quay","
								$1,850,000","
							366 sqft (Built-up)
								","Not tenanted","1632014633","0","3","32","6","3","3","
							$5,055 psf (Built-up)
								","Peninsula Plaza","999 Years from 29/10/1829","Shop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","North Bridge Road","Retail","City Hall / Clarke Quay","
								$701,000","
							484 sqft (Built-up)
								","Not tenanted","1632021033","4","3","15","6","3","3","
							$1,448 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years","Shop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","North Bridge Road","Retail","City Hall / Clarke Quay","
								$730,000","
							409 sqft (Built-up)
								","Not tenanted","1632021033","5","3","15","6","3","3","
							$1,785 psf (Built-up)
								","High Street Centre","LEASEHOLD/99 years","Shop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","North Bridge Road","Retail","City Hall / Clarke Quay","
								$887,500","
							355 sqft (Built-up)
								","Not tenanted","1632021033","0","3","32","6","3","3","
							$2,500 psf (Built-up)
								","Peninsula Plaza","999 Years from 29/10/1829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Orchard Road","Retail","Orchard / River Valley","
								$1,800,000 (View to Offer)
								","
							474 sqft (Built-up)
								","Not tenanted","1632029212","0","3","69","6","3","3","
							$3,797 psf (Built-up)
								","Concorde Hotel And Shopping Mall","99 years from 17/08/1979","Shop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Orchard Road","Retail","Orchard / River Valley","
								$2,500,000 (Guide Price)
								","
							300 sqft (Built-up)
								","Tenanted","1632045652","0","3","74","7","3","3","
							$8,333 psf (Built-up)
								","Midpoint Orchard","FREEHOLD","Mall",NA,"$2,800",NA,NA,"LOW",NA,NA,NA,NA
"140","Owen Road","HDB Shop House","Farrer Park / Serangoon Rd","
								$10,000,000 (Guide Price)
								","
							3,500 sqft (Built-up)
								","Tenanted","1630501990","0","3","5","7","3","3","
							$2,857 psf (Built-up)
								","Owen Road","LEASEHOLD/99 years","Hdb Shophouse",NA,NA,NA,NA,NA,NA,"Government","1",NA
"141","Pagoda Street","Shop House","Boat Quay / Raffles Place / Marina","
								$15,000,000 (Negotiable)
								","
							3,000 sqft (Built-up)
								","Tenanted","1632048263","0","3","26","5","3","3","
							$5,000 psf (Built-up)
								","Pagoda Street","FREEHOLD","Shop",NA,"$0",NA,NA,NA,NA,NA,NA,NA
